Timestamp,Farm_ID,Volumetric_Moisture_Pct,Sensor_Board_Temperature_C,Raw_Capacitive_ADC,Sensor_Voltage_V,Atm_Pressure_inHg,Atm_Temperature_C,Soil_Temperature_C,SM_Level_15cm,SM_Volume_15cm,SM_Aggregate_Pct,SM_Volume_Pct,Hour,Day,Month,DayOfWeek,DayOfYear,Hour_sin,Hour_cos,Day_sin,Day_cos
2025-01-05 00:00:00,Kolkata_Farm_1,14.15,17.02633583578562,704,2.271,30.0206,16.38,19.21,1.8,9.44,27.83,21.21,0,5,1,6,5,0.0,1.0,0.08596479873744647,0.9962981749346078
2025-01-05 00:15:00,Kolkata_Farm_1,14.14,17.71709914086776,692,2.232,30.0171,17.05,19.36,2.07,9.5,26.85,21.16,0,5,1,6,5,0.0,1.0,0.08596479873744647,0.9962981749346078
2025-01-05 00:30:00,Kolkata_Farm_1,14.14,13.01209664065207,700,2.258,30.0167,16.88,19.55,1.91,9.97,27.75,21.06,0,5,1,6,5,0.0,1.0,0.08596479873744647,0.9962981749346078
2025-01-05 00:45:00,Kolkata_Farm_1,14.14,14.36077745380534,697,2.248,30.0192,16.39,19.52,2.02,9.91,23.75,20.82,0,5,1,6,5,0.0,1.0,0.08596479873744647,0.9962981749346078
2025-01-05 01:00:00,Kolkata_Farm_1,14.14,15.48926697335658,675,2.177,30.0195,16.72,19.73,2.67,9.27,26.66,20.25,1,5,1,6,5,0.25881904510252074,0.9659258262890683,0.08596479873744647,0.9962981749346078
2025-01-05 01:15:00,Kolkata_Farm_1,14.14,16.66376295983934,683,2.203,30.0152,17.44,19.91,1.66,9.59,30.02,20.32,1,5,1,6,5,0.25881904510252074,0.9659258262890683,0.08596479873744647,0.9962981749346078
2025-01-05 01:30:00,Kolkata_Farm_1,14.15,12.7095162720933,693,2.235,30.011,16.26,19.59,2.73,9.47,26.66,20.42,1,5,1,6,5,0.25881904510252074,0.9659258262890683,0.08596479873744647,0.9962981749346078
2025-01-05 01:45:00,Kolkata_Farm_1,14.12,17.14538907263541,689,2.223,30.0097,16.91,19.75,1.53,9.24,25.69,19.88,1,5,1,6,5,0.25881904510252074,0.9659258262890683,0.08596479873744647,0.9962981749346078
2025-01-05 02:00:00,Kolkata_Farm_1,14.15,14.96746696647645,691,2.229,30.0103,17.47,19.75,2.58,9.44,25.51,19.92,2,5,1,6,5,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078
2025-01-05 02:15:00,Kolkata_Farm_1,14.16,14.54008624870115,696,2.245,30.0076,16.88,19.72,2.05,8.79,22.94,19.74,2,5,1,6,5,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078
2025-01-05 02:30:00,Kolkata_Farm_1,14.16,14.84031199885169,684,2.206,30.009,16.99,19.52,1.37,9.28,27.97,19.85,2,5,1,6,5,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078
